id,first_name,last_name,email,gender,ip_address,card,balance,account,zip code,time zone,country,city,sector,date,time
1,Fredric,Szymanowski,fszymanowski0@purevolume.com,Male,51200249132,3544749419670616,"€715625,12",DE93 1672 1649 3649 2977 08,,Asia/Kuala_Lumpur,Malaysia,Kuantan,Capital Goods,2018-12-30 02:03:45,13:06:44
2,Anna-diana,Madgwick,amadgwick1@msn.com,Female,92.38.17.152,3560797477264904,"€1370008,31",CY17 1878 0992 OZRJ GG7D MLOD YXMT,582 31,Europe/Stockholm,Sweden,Linköping,,2018-06-24 23:55:01,4:05:49
3,Verney,Kinsett,vkinsett2@yolasite.com,Male,223226180252,201439228779093,"€1027583,42",FR75 4373 5078 48ZU 8X2I 4ALU O72,,Asia/Chongqing,China,Ji’an,Energy,2018-08-14 19:41:36,18:42:33
4,Terrill,McFetrich,tmcfetrich3@wikia.com,Male,186.248.62.100,6761710825664873,"€144871,31",EE57 1955 0460 2573 0082,,Asia/Makassar,Indonesia,Tuapukan,n/a,2018-10-12 11:46:11,17:37:33
5,Fidel,Amberger,famberger4@tuttocitta.it,Male,35214252134,5537028710728991,"€104794,93",NL88 YIHL 0191 1294 61,59800,Asia/Kuala_Lumpur,Malaysia,Kuala Lumpur,n/a,2018-04-24 15:01:40,15:17:53
6,Perry,Brayley,pbrayley5@who.int,Female,60.147.42.217,3568028159039121,"€999510,76",HR83 5151 1811 3042 0083 0,891 25,Europe/Stockholm,Sweden,Örnsköldsvik,Health Care,2018-12-29 07:03:36,16:00:17
7,Humphrey,Ebanks,hebanks2f@wp.com,Male,112.72.15.119,6759476112596038,"€1057090,48",MK14 466M VLN8 E54M C42,659826,Asia/Omsk,Russia,Kosikha,n/a,2019-03-06 12:14:25,11:20:27
8,Staci,Zanioletti,szanioletti2g@instagram.com,Female,226.67.74.204,4772727284259,"€904646,11",FR63 3471 7988 24TC CDZS Q7A5 J73,,Europe/Bucharest,Ukraine,Nyzhni Petrivtsi,Consumer Services,2018-11-30 11:19:41,17:38:00
9,Tully,Humbles,thumbles2h@illinois.edu,Male,185136142216,"6,76371165102336E+016","€1544895,58",LB48 1373 VD8J A7QS VYXV AQTI G97I,2725-619,Europe/Lisbon,Portugal,Pexiligais,Public Utilities,2018-08-15 14:30:21,9:38:28
10,Myrilla,Stiven,mstiven2i@addthis.com,Female,213.57.104.164,3581725312464491,"€456296,96",AZ48 XLMH WNPM 5WPM COKJ FRNO RVLU,7207,Asia/Manila,Philippines,Oroquieta,Capital Goods,2018-11-29 04:37:13,18:43:02
11,Karlotta,Rivelin,krivelin2j@irs.gov,Female,189134113229,3576255787803590,"€1265470,73",FR93 1250 3117 46I2 9WCG LXMO 700,69000-000,America/Manaus,Brazil,Manaus,Health Care,2019-03-12 00:34:41,15:49:15
12,Dynah,Kernan,dkernan2k@chronoengine.com,Female,219.242.119.48,6759376135693665,"€1192514,62",LV68 VBVI Y1HV 6006 FPAH H,,Asia/Kabul,Afghanistan,Alah Sāy,Health Care,2018-06-25 06:26:06,12:16:55
13,Isidor,Bryde,ibryde2l@chicagotribune.com,Male,111.46.184.51,3542833341216169,"€1360135,19",LB11 4857 W2IS RIUL EEVU LVRX RUR6,,America/Caracas,Venezuela,Macapo,Health Care,2018-08-12 22:54:40,8:43:07
14,Emmye,Tooting,etooting2m@virginia.edu,Female,235.47.199.60,5100170948572176,"€283715,85",FR83 6429 0261 34UG 2BNM O5J0 774,,America/La_Paz,Bolivia,Tarata,,2018-03-31 17:28:23,7:36:05
15,Ferdinanda,Andrus,fandrus2n@comcast.net,Female,216.137.41.245,3532914766287653,"€1374539,76",ME33 3795 1960 5913 4687 02,,Asia/Vientiane,Vietnam,Thị Trấn Mường Lát,n/a,2018-09-10 06:49:08,17:04:04
16,Lemuel,Voff,lvoff2o@columbia.edu,Male,27.169.9.204,5100173723015619,"€587604,82",BH33 IGGS UBB0 HPP4 0APO VV,,Asia/Jakarta,Indonesia,Rajadesa,Health Care,2019-01-10 13:13:19,8:44:51
17,Hymie,Keetley,hkeetley2p@macromedia.com,Male,192107140181,6759742010296389,"€790277,19",BA08 2658 6076 6911 1422,,Asia/Chongqing,China,Tanbu,n/a,2019-01-07 11:46:24,16:15:42
18,Townie,Minchi,tminchi2q@netvibes.com,Male,94178178211,6706738552247727,"€1222830,24",MU52 GKTU 9094 3403 8117 3273 716U AE,,Asia/Tashkent,Uzbekistan,Chust Shahri,Consumer Non-Durables,2018-04-12 16:08:09,4:21:18
19,Rafferty,Fergusson,rfergusson2r@posterous.com,Male,111192201195,3571731311154093,"€1477381,87",DE64 6829 0590 2008 7168 81,LQA,Europe/Malta,Malta,Luqa,Technology,2019-03-18 05:32:45,0:59:24
20,Ezmeralda,Baselli,ebaselli2s@unesco.org,Female,100.237.238.52,3534825900324822,"€1362712,50",NO76 6016 4965 308,,Asia/Chongqing,China,Humen,Consumer Non-Durables,2018-09-04 10:02:49,21:30:17
21,Ram,Hillborne,rhillborne2t@usa.gov,Male,30.20.95.196,374622630345865,"€292670,67",IT59 D686 2475 818F TUXD AKCE YYA,,Asia/Jakarta,Indonesia,Dampol,,2018-08-12 09:43:25,5:12:11
22,Dionisio,Watt,dwatt2u@sfgate.com,Male,140111107205,5579891040854749,"€172096,93",TN81 8552 1170 8819 0630 2602,91505,America/Los_Angeles,United States,Burbank,Basic Industries,2019-02-12 16:38:36,23:28:03
23,Matthew,Carnie,mcarnie2v@cafepress.com,Male,159.214.48.201,6771901105949112,"€482481,21",AL62 8315 8665 PXUM OIKD XDQK PZCT,41800,America/Mexico_City,Mexico,Benito Juarez,,2018-03-25 13:22:56,8:09:11
